doc_id,permit_num,code,tier,score,name,description,reasons
5760069,22-18591-RNVS,RNVS,strict,123,747 St Charles - HDLC and RCC Stamped.pdf,Phase II-Interior build-out of 7-unit hotel with commercial lease space on ground floor to be built as per plans. Phase I permit:22-06494-RNVN; Pool permit 22-06881-POOL,strict primary-plan filename | relevant permit scope | renovation permit
5587590,22-18980-RNVS,RNVS,strict,123,710 Canal Street - ARC Package 1 - Part I - 2022.06.23.pdf,"Renovation of an existing four story building, including new Canal Street storefront, rear balconies, and roof deck.",strict primary-plan filename | relevant permit scope | renovation permit
6126328,22-19111-RNVS,RNVS,strict,123,838 Canal - HDLC and RCC Stamped.pdf,"Renovation of an existing 3-story masonry commercial building with 2224sf with a 188sf mezzanine. First floor build-out for a new restaurant. Work to include all new mechanical, electrical, and plumbing service, kitchen hood and exhaust, new finishes and modifications of the storefront. Provide a new enclosed stair from first floor to second floor. Join new stair enclosure with the existing stair flight to the third floor. Add new mechanical stair from the third floor to the roof for access to new rooftop mechanical equipment servicing new ground floor restaurant. Second and third floors are to remain vacant and will require separate permit(s) to build out. All work to be done as per plans.",strict primary-plan filename | relevant permit scope | renovation permit
5725090,22-19115-RNVS,RNVS,strict,123,717 Orleans Ave - Revised Scope (RCC stamped).pdf,"THIS IS PHASE II & III TO A RENOVATION AT THE BOURBON ORLEANS HOTEL. THIS PHASE INCLUDES A NEW LOBBY BAR, ENTRY VESTIBULE, SPEAKEASY, CAFE, HISTORIC BALCONY REPAIR, & MINOR ALLEY SCOPE.",strict primary-plan filename | relevant permit scope | renovation permit
6024832,22-23395-RNVS,RNVS,strict,123,1300 OC Haley Blvd Ste B - RCC Stamped.pdf,"Interior build-out of 8,900 sq. ft. clinic on ground floor of mixed use development. All work to be done as per plans. *Address corrected from Ste A to Ste B",strict primary-plan filename | relevant permit scope | renovation permit
5691910,22-24937-RNVS,RNVS,strict,123,floor plan sketch (unannotated).pdf,Renovation of multiple office spaces.,strict primary-plan filename | relevant permit scope | renovation permit
7694344,22-26296-RNVS,RNVS,strict,123,3000 S Carrollton 22-26296 SP RCC STAMPED HDLC.pdf,"Addition to the Restaurant HDLC Description: Construction of new canopy structure at a Contributing rated, one-story, commercial building.",strict primary-plan filename | relevant permit scope | renovation permit
6151568,22-30931-RNVS,RNVS,strict,123,521 St Philip - RCC Stamped.pdf,Replacement of wooden gallery damaged by an automobile. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
6153157,22-31283-RNVS,RNVS,strict,123,327 Bourbon - RCC Stamped.pdf,"temporary interior shoring, 4th floor of main structure to support metal roof while mansard slate roof is being replaced. Rotten joists to be replaced to match existing where needed with in roof structure, new underlayment and slate in be installed throughout property to match existing slate color. All work to be done as per plans. No use or occupancy under this permit.",strict primary-plan filename | relevant permit scope | renovation permit
5813365,22-32358-RNVS,RNVS,strict,123,NOBTS Student Center Canopy Renovation CD_102522 (RCC stamped).pdf,"The Canopy Renovation Project at the Baptist Seminary, Student Center is an exterior project with the following scope: 1) Renovate the façade of the existing South & West brick canopies. 2) Construct metal canopy between existing canopies 3) Install brick pavers under New and South canopy.",strict primary-plan filename | relevant permit scope | renovation permit
7582944,22-35393-RNVS,RNVS,strict,123,2024.06.21 - 730 St Peter VCC approved overall reno SP RCC STAMPED (1).pdf,"NEW RESTAURANT (WHITE BOX) PROPOSED FOR FIRST FLOOR, INCLUDING INTERIOR RENOVATIONS AND ADDITION OF NEW HVAC AND MECHANICAL EQUIPMENT, UPPER FLOORS TO BE RENOVATED INCLUDING NEW HVAC, ELECTRICAL AND MECHANICAL WORK. MIXED USE PROPOSED FOR 2ND AND 3RD FLOORS. NOT FOR PERMIT, VCC ARC REVIEW ONLY. **RESTAURANT TENANT BUILDOUT UNDER 24-23740-RNVN**",strict primary-plan filename | relevant permit scope | renovation permit
6046278,23-01467-RNVS,RNVS,strict,123,726-728 Barracks - RCC Stamped.pdf,Repointing of masonry walls of both buildings; infill of gable vent at main building; renovation of stair at rear of main building at 726; installation of tie rods/plates near ridge on both sides of main building; replacement of copper cap flashing at main building; repointing of chimney at rear building; replacement of a few slate roofing tiles at rear building. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
6060281,23-04405-RNVS,RNVS,strict,123,6311 St Claude - RCC Stamped.pdf,"Renovation of existing vacant building to contain 4 art studios. Work to consist of rebuyilding front wall, reconfiguring front overhang, adding 4 toilet rooms, plumbing, new electrical and HVAC. All work to be done as per plans.",strict primary-plan filename | relevant permit scope | renovation permit
7463830,23-05619-RNVS,RNVS,strict,123,105 N Roadway - RCC Stamped.pdf,Replace wooden bulkhead with steel sheet pile and concrete cap bulkhead. Re-Pave existing parking lot. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
7928580,23-09275-RNVS,RNVS,strict,123,627 Esplanade - RCC Stamped.pdf,"INTERIOR RENOVATIONS AND ADDITION OF NEW HVAC AND MECHANICAL EQUIPMENT, UPPER FLOORS TO BE RENOVATED INCLUDING NEW HVAC, ELECTRICAL AND MECHANICAL WORK. EXTERIOR REPAIRS WHERE NECCESARY WITHOUT ARCHITECTURAL CHANGES TO STREET FACING FACADE. RENOVATION OF EXTERIOR STAIR IN CONNECTING 627 AND 633 IN COURTYARD. NEW EXTERIOR COURTYARD FINISH AND REMOVAL OF EXISTING POOL. REPAIR EXISTING COURTYARD FACING BALCONIES WHERE NECCESARY. ALL WORK TO BE DONE AS PER PLANS.",strict primary-plan filename | relevant permit scope | renovation permit
6547239,23-09311-RNVS,RNVS,strict,123,601 Tchoupitoulas - HDLC and RCC Stamped.pdf,"Enclose existing front patio as per plans. Including Electrical, plumbing and HVAC work.",strict primary-plan filename | relevant permit scope | renovation permit
