doc_id,permit_num,code,score,tags,name,description,reasons
6640875,22-09566-NEWC,NEWC,135,architectural;commercial_use,SFM Inspection Report - Architectural (1).pdf,NEW CONSTRUCTION OF A STANDARD RESTAURANT. RESTAURANT USE IS PAIRED WITH A PRIVATE DOG RUN,filename signal: architectural
5549668,22-16377-NEWC,NEWC,135,commercial_use;interior_scope;permit_cd_set,121020_2126 Marais Street_PERMIT_SET.pdf,"NEW CONSTRUCTION OF A 2 STORY 1314SF STRUCTURE IN THE REAR OF THE LOT TO BE PART OF HOTEL USE, NEW SITE-WORK THROUGHOUT. ***THIS PERMIT IS FOR THE NEW CONSTRUCTION ONLY, RENOVATION OF THE OTHER STRUCTURES HAS BEEN APPLIED FOR UNDER 22-33294.*** Permit extended until (3) 180 day periods until March 15, 2025 Permit extended (2) 180 day periods until March 15, 2026",filename signal: permit_cd_set
5594926,22-19465-RNVS,RNVS,135,commercial_use;interior_scope;permit_cd_set,20220628_2620 JENA_PERMIT SET-min.pdf,Renovation to the first floor of an existing two story medical clinic building. Building Use to remain the same,filename signal: permit_cd_set
6026821,22-34220-RNVS,RNVS,135,commercial_use;interior_scope;permit_cd_set,(2) Cafe Fleur De Lis_ISSUED FOR PERMIT_230313_STRUCTURE ONLY.pdf,"Renovation of an existing commercial property into a new restaurant. Historical building in the French Quarter. The two side walls are directly adjacent to the neighboring buildings. The very small back ""yard"" to be enclosed and added as interior square footage. No major structural changes. Existing stairwell to remain in place. New kitchen, interior walls, and bathrooms will be added to the existing building. Exterior to be painted. Existing roof to remain.",filename signal: permit_cd_set
6584322,24-00725-RNVN,RNVN,135,commercial_use;interior_scope;permit_cd_set,10-245-10_PERMIT SET_12-20-23 copy-compressed_Part1.pdf,Renovation of existing building (grocery store) into a medical clinic.,filename signal: permit_cd_set
6656157,24-04531-RNVN,RNVN,135,commercial_use;interior_scope;permit_cd_set,TJ Maxx - New Orleans.LA - Permit Set.pdf,Commercial retail remodel interior only,filename signal: permit_cd_set
7580571,24-29321-RNVS,RNVS,135,commercial_use;interior_scope;permit_cd_set,2024-05-03 AP Turead Elect Permit set.pdf,"Minor interior painting, cleaning, finishes repairs, exterior walls repairs.- WHITE BOX COMMERCIAL - NO USE OR OCCUPANCY",filename signal: permit_cd_set
8228406,24-31887-RNVS,RNVS,135,commercial_use;interior_scope;permit_cd_set,NEW HOME_PERMIT_SET_6-5-2025PART1 (RCC).pdf,"Interior repairs and Renovations of existing Church Congregation. Changes include expanding women's restroom, repair of men's restroom, adding sound booth, baptistry, pastor office and sanctuary seating. repairs include Stair Case, second floor framing and plumbing walls. *FINAL INSPECTION* Final FEMA elevation certificate BFE +0.27 NAVD. Also, a FEMA dry-floodproofing certicate that is signed off by either registered professional engineer or architect.",filename signal: permit_cd_set
7870003,25-03108-RNVS,RNVS,135,commercial_use;interior_scope;permit_cd_set,Newton St 100 CDs.pdf,"Fire damage repairs, renovation, addition and code updates to existing commercial and residential spaces. Upgrade electrical, mechanical and plumbing to meet required codes.",filename signal: permit_cd_set
8173126,25-14490-RNVS,RNVS,135,commercial_use;interior_scope;permit_cd_set,WFBDS2025_01_REFRIG_100 CD (RCC).pdf,"THE PROJECT SCOPE CONSISTS OF THE INTERIOR REMODEL TO AN EXISTING 28,511 SF WHOLE FOODS MARKET LOCATED AT 300 N BROAD STREET IN NEW ORLEANS, LA. THE PROJECT INCLUDES BUT IS NOT LIMITED TO THE MODIFICATION OF EXISTING CHECKOUT EQUIPMENT, FOOD SERVICE EQUIPMENT, AND RETAIL SHELVING AS INDICATED WITHIN THESE DOCUMENTS. THE PROJECT WILL ALSO REQUIRE ELECTRICAL, PLUMBING, AND REFRIGERATION SYSTEMS TO BE MODIFIED TO ACCOMMODATE AND SERVE NEW EQUIPMENT AND PLAN LAYOUT. THERE WILL BE NO CHANGE IN OCCUPANCY, USE, EXITS OR TRAVEL DISTANCE.",filename signal: permit_cd_set
2251240,16-02792-NEWC,NEWC,125,approved_plans;commercial_use;interior_scope,Approved plans for construction 02792.pdf,Interior build-out for new two-story mixed-use office and storage use building under seperate future permit.,filename signal: approved_plans
4964802,21-03723-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,721 St Philip - RCC Stamped.pdf,"School Use (Homer A. Plessy Community School-NOLA Public Schools). The purpose of this project is to replace termite-damaged attic joists and roof rafters, within the attic area of the school building. See drawings for additional information. INTERIOR WORK ONLY",filename signal: approved_plans
5725090,22-19115-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,717 Orleans Ave - Revised Scope (RCC stamped).pdf,"THIS IS PHASE II & III TO A RENOVATION AT THE BOURBON ORLEANS HOTEL. THIS PHASE INCLUDES A NEW LOBBY BAR, ENTRY VESTIBULE, SPEAKEASY, CAFE, HISTORIC BALCONY REPAIR, & MINOR ALLEY SCOPE.",filename signal: approved_plans
7582944,22-35393-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,2024.06.21 - 730 St Peter VCC approved overall reno SP RCC STAMPED (1).pdf,"NEW RESTAURANT (WHITE BOX) PROPOSED FOR FIRST FLOOR, INCLUDING INTERIOR RENOVATIONS AND ADDITION OF NEW HVAC AND MECHANICAL EQUIPMENT, UPPER FLOORS TO BE RENOVATED INCLUDING NEW HVAC, ELECTRICAL AND MECHANICAL WORK. MIXED USE PROPOSED FOR 2ND AND 3RD FLOORS. NOT FOR PERMIT, VCC ARC REVIEW ONLY. **RESTAURANT TENANT BUILDOUT UNDER 24-23740-RNVN**",filename signal: approved_plans
9072470,22-37867-NEWC,NEWC,125,approved_plans;commercial_use;interior_scope,955 HOWARD SP RCC STAMPED.pdf,Renovation of existing 2 story commercial building & new construction 4 story building into a mixed use property with retail white box space on the first floor of the existing building and upper floors to be residential condos. Includes an open air but screened walled parking area; listed this area as garage square footage even though it is open air.,filename signal: approved_plans
7479962,24-08485-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,4628-30 Downman Road Permitting 24_0323 (RCC stamped).pdf,Renovation (Structural) for an existing building of a two tenant commercial space (white box) per drawings.,filename signal: approved_plans
7538714,24-18915-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,2438 St Claude 24-18915 SP RCC STAMPED (1).pdf,"conversion of 3 commercial STRs upstairs into expansion of existing downstairs restaurant. 2 new kitchen hoods and venting, relocated intr.AC to rooftop, new dining/kitchen/dining bar/seating/storage/toilets upstairs. new walk-in cooler in rear yard. interior demolition permit issued already. building is fully sprinklered w/ NFPA 13 supervised system.",filename signal: approved_plans
7890591,24-21748-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,P-1__rev2119Louisiana_NH (RCC stamped).pdf,"Mixed Use retail/residential - remodel the entire building including the framing,plumbling,electrical,and mechanical",filename signal: approved_plans
8311424,25-10694-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,State Fire Stamped Plans.pdf,"Restaurant tenant finish. Tenant Improvement work for a fast-casual restaurant with a dining room, commercial kitchen, restrooms, HVAC, lighting, and an outdoor dining patio area.",filename signal: approved_plans
8396268,25-13207-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,25_0430 KIDsmART_Permit SP RCC STAMPED.pdf,"The existing building was originally a parochial school, renovated in 2018 to a co-working office space. The 2018 renovation achieved Historic Tax Credits. Renovation to reconfigure the existing program spaces to house administrative offices, classroom and training spaces, fine arts studio classrooms, a performance arts rehearsal and performance spaces, and associated storage, bathroom, prep area, and support spaces. Reconfigure circulation with the addition of an elevator to provide an accessible route to the second floor. The business occupancy of the building will remain same in the upcoming renovation. *MUST RESOLVE BACKFLOW PREVENTION PRIOR TO ANY INSPECTIONS*",filename signal: approved_plans
8752897,25-17379-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,Backflow Approved Plan 202506_1216 Bienville_P201 Rev 1_AW.pdf,Renovation of historic mixed use building to a new mixed use building with a single apartment above a restaurant below. 6/26/25 BBSA approval waives BFE: Requires use of flood damage-resistant materials; elevate M&E above +1.27 NAVD,filename signal: approved_plans
9354081,25-39400-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,3901 Magazine - RCC Stamped.pdf,"COMMERCIAL TENANT IMPROVEMENT INCLUDING DEMOLITION AND CONSTRUCTION OF NON-STRUCTURAL PARTITIONS, CEILINGS, FINISHES AND FURNITURE/EQUIPMENT AND ASSOCIATED MEP IMPROVEMENTS.",filename signal: approved_plans
9266602,26-07412-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,1903 Jefferson SP RCC STAMPED.pdf,"The Isidore Newman School Jefferson Building Restoration/Renovation centers on the partial renovation of the Jefferson Building with connections to the Saratoga Building. Improvements include partial demolition of interior partitions to restore historic architectural features and provide new office and student spaces. The project includes mechanical, electrical, plumbing, and fire protection systems in selected areas of the Jefferson and Saratoga buildings. Exterior renovations consist of façade refinishing work of plaster, a limited scope of window and door replacement, roof repair with dormer additions, and remodeling an outdoor courtyard. BACKFLOW PREVENTION REVIEW REQUIRED PRIOR TO INSPECTIONS BEING ACCEPTED",filename signal: approved_plans
9127047,26-08124-RNVS,RNVS,125,approved_plans;commercial_use;interior_scope,1413 Upperline - RCC Stamped.pdf,Renovation of existing restaurant.,filename signal: approved_plans
838392,13-13588-NEWC,NEWC,122,commercial_use;permit_cd_set;plans_scope,3757_MMP_Phase-II-_ILA-Tract_Permit-Set_4-24-2013.pdf,"Construct a 6,000 Sq Ft retail building as per plans.",filename signal: permit_cd_set
5449878,19-00670-RNVS,RNVS,122,approved_plans;interior_scope;plans_scope,215 Tchoupitoulas - HDLC and RCC Stamped.pdf,"Renovation of existing 2 story building with a 3 story addition for a total 5 stry 37 unit Timeshare project as per plans and BBSA letter. This phase includes structural shell, GF build-out and two dwelling units. Stormwater submittals are embedded into the Building plans under Structural and under Mechanical drawings",filename signal: approved_plans
4035860,19-18423-RNVS,RNVS,122,approved_plans;interior_scope;plans_scope,522 Bourbon - RCC Stamped.pdf,Interior structural repairs of the existing balcony as per plans. NOTE: VCC review and approval not required for interior work. Any exterior work must be submitted to VCC for review and permit prior to completion of work.,filename signal: approved_plans
4242925,19-25242-RNVS,RNVS,122,approved_plans;interior_scope;plans_scope,1125 N Tonti Bldg C-D - HDLC and RCC Stamped.pdf,"Renovation of two 1-story buildings (C and D), with 990sq ft and 1190sq ft respectively, as sleeping rooms with associated kitchenettes and bathrooms for a residential care facility as per plans. Building C is intended to serve as sleeping rooms in the short term with a long-term use as administrative offices as per plans.",filename signal: approved_plans
4328424,19-27685-NEWC,NEWC,122,approved_plans;interior_scope;plans_scope,701 Poydras 6th floor - RCC Stamped.pdf,Renovation of existing shell space on the 6th floor of the Hancock Whitney Center for offices as per plans.,filename signal: approved_plans
4723551,20-41358-RNVS,RNVS,122,approved_plans;interior_scope;plans_scope,1530 Gravier - RCC Stamped.pdf,Renovation to the second and third floors. Scope to include the expansion of existing homeless shelter dormitory as per plans.,filename signal: approved_plans
4968562,20-45301-RNVS,RNVS,122,approved_plans;interior_scope;plans_scope,5354 Magazine RNVS - RCC Stamped.pdf,Renovation of existing one-story building to become amenity spaces for Poydras Home community. All work to be done as per plans TCO AS PER SFM--GOOD TILL 3-25-24 FINAL C.O. ISSUED 4-30-24,filename signal: approved_plans
5114358,20-48257-RNVS,RNVS,122,approved_plans;interior_scope;plans_scope,1008 Dauphine - VCC and RCC Stamped.pdf,"Interior and Exterior Renovations and Refurbishment of a 3-stry, 3947sqft, six-unit apartment building. All work to be done as per plans. Permit extended to 3-24-2024",filename signal: approved_plans
5080489,21-06472-RNVS,RNVS,122,approved_plans;interior_scope;plans_scope,1929 Louisiana - RCC Stamped.pdf,Renovation of an existing boarding house into a bed and breakfast that sleeps 15 people. All work to be done as per plans.,filename signal: approved_plans
